Name,Date,Rate,Votes,Duration,Type,Certificate,Episodes,Nudity,Violence,Profanity,Alcohol,Frightening,Genre,Genre 2,Genre 3
Twister,1996,6.4,"187,329",113,Film,PG-13,-,None,Mild,Moderate,None,Moderate,Action, Adventure, Thriller
Anchorman: The Legend of Ron Burgundy,2004,7.2,"340,907",94,Film,PG-13,-,Moderate,Mild,Moderate,Mild,Mild,Comedy,,
Bloodline,2004,7.9,"47,445",60,Series,TV-MA,33,Moderate,Moderate,Severe,Severe,Mild,Drama, Thriller,
Swallow,2019,6.5,"19,951",94,Film,R,-,Mild,Moderate,Moderate,Mild,Moderate,Drama, Mystery, Thriller
Mamma Mia!,2008,6.4,"228,290",108,Film,PG-13,-,Mild,None,Mild,Mild,None,Comedy, Musical, Romance
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,"354,603",116,Film,R,-,Mild,Severe,Mild,Mild,Severe,Drama, Horror, Musical
Hugo,2011,7.5,"313,623",126,Film,PG,-,None,Mild,None,Mild,Mild,Drama, Family, Fantasy
The Hitman's Bodyguard,2017,6.9,"213,663",118,Film,R,-,Mild,Severe,Severe,Mild,Mild,Action, Comedy, Crime
Gangs of New York,2002,7.5,"421,450",167,Film,R,-,Severe,Severe,Moderate,Moderate,Moderate,Crime, Drama,
Zone 414,2021,4.9,"1,376",98,Film,R,-,Mild,Moderate,Severe,Mild,No Rate,Sci-Fi, Thriller,
Eureka,2021,7.9,"50,569",60,Series,TV-14,77,Mild,Mild,None,Mild,Mild,Adventure, Comedy, Drama
Gone with the Wind,1939,8.1,"302,134",238,Film,Passed,-,Mild,Moderate,None,Mild,Moderate,Drama, History, Romance
Wonder,2017,8,"153,566",113,Film,PG,-,None,Mild,Mild,Mild,Mild,Drama, Family,
Scary Movie 2,2001,5.3,"155,206",83,Film,R,-,Severe,Moderate,Severe,Moderate,Mild,Comedy,,
Evil Dead II,1987,7.7,"154,865",84,Film,R,-,Mild,Severe,Moderate,None,Moderate,Comedy, Horror,
Ugly Betty,1987,6.6,"41,981",60,Series,TV-PG,85,Mild,Mild,Moderate,Mild,Mild,Comedy, Drama, Romance
The Hunger Games: Mockingjay - Part 2,2015,6.6,"303,629",137,Film,PG-13,-,None,Moderate,None,Mild,Moderate,Action, Adventure, Sci-Fi
Men in Black II,2002,6.2,"356,862",88,Film,PG-13,-,Moderate,Moderate,Mild,Mild,Mild,Action, Adventure, Comedy
Let Him Go,2020,6.7,"21,185",113,Film,R,-,None,Severe,Mild,Mild,Moderate,Crime, Drama, Thriller
ParaNorman,2012,7,"98,315",92,Film,PG,-,Mild,Moderate,Mild,None,Moderate,Animation, Adventure, Comedy
The Witches,1990,6.9,"47,061",91,Film,PG,-,None,Moderate,Mild,Mild,Moderate,Adventure, Comedy, Family
Jupiter's Legacy,2021,6.7,"34,304",56,Series,TV-MA,8,Mild,Severe,Moderate,Moderate,Moderate,Action, Adventure, Drama
Friday the 13th: The Final Chapter,1984,6,"48,870",91,Film,R,-,Moderate,Severe,Severe,Moderate,Severe,Horror, Thriller,
Friday,1995,7.3,"106,057",91,Film,R,-,Mild,Mild,Severe,Severe,Mild,Comedy, Drama,
Daman akeseo guhasoseo,2020,6.8,"3,463",108,Film,Not Rated,-,None,Moderate,Mild,Moderate,Mild,Action, Crime, Thriller
Boston Legal,2020,8.4,"44,360",44,Series,TV-14,101,Mild,Mild,Mild,Mild,Mild,Comedy, Crime, Drama
The Favourite,2018,7.5,"185,686",119,Film,R,-,Moderate,Mild,Moderate,Mild,Mild,Biography, Comedy, Drama
The Predator,2018,5.3,"122,994",107,Film,R,-,Mild,Severe,Severe,Mild,Moderate,Action, Adventure, Sci-Fi
Untitled Super Mario Project,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Animation, Adventure, Comedy
What's Your Number?,2011,6.1,"75,713",106,Film,R,-,Moderate,None,Moderate,Mild,None,Comedy, Romance,
Saint Maud,2019,6.7,"26,259",84,Film,R,-,Moderate,Severe,Moderate,Mild,Severe,Drama, Horror, Thriller
Them,2019,7.3,"16,063",45,Series,TV-MA,11,Mild,Severe,Severe,Moderate,Severe,Drama, Horror, Thriller
Spring Breakers,2012,5.3,"139,175",94,Film,R,-,Severe,Severe,Severe,Severe,Moderate,Crime, Drama,
X: First Class,2011,7.7,"664,240",131,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Adventure, Sci-Fi
High School DxD,2011,7.6,"8,609",23,Series,TV-MA,59,Severe,Moderate,Moderate,None,Moderate,Animation, Action, Comedy
Waterworld,1995,6.2,"188,683",135,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Sci-Fi
The Unholy,2021,5.1,"14,717",99,Film,PG-13,-,None,Moderate,Moderate,Mild,Severe,Drama, Horror, Mystery
Hart of Dixie,2021,7.7,"49,914",60,Series,TV-PG,76,Mild,None,Mild,Mild,No Rate,Comedy, Drama, Romance
A Time to Kill,1996,7.5,"141,034",149,Film,R,-,Mild,Moderate,Moderate,Mild,Severe,Crime, Drama, Thriller
In the Earth,2021,5.2,"4,976",107,Film,R,-,None,Severe,Moderate,Moderate,Severe,Horror, Sci-Fi, Thriller
The Master,2012,7.2,"163,770",138,Film,R,-,Severe,Mild,Severe,Severe,Moderate,Drama,,
21 Bridges,2019,6.6,"58,358",99,Film,R,-,None,Severe,Severe,Moderate,Moderate,Action, Crime, Thriller
Ghostbusters II,1989,6.6,"190,768",108,Film,PG,-,Mild,Mild,Mild,Mild,Moderate,Action, Comedy, Fantasy
12 Years a Slave,2013,8.1,"666,564",134,Film,R,-,Severe,Severe,Severe,Mild,Severe,Biography, Drama, History
Pirates of the Caribbean: Dead Man's Chest,2006,7.3,"677,451",151,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Fantasy
Ash vs Evil Dead,2006,8.4,"68,360",30,Series,TV-MA,30,Moderate,Severe,Severe,Moderate,Severe,Action, Comedy, Horror
Pain & Gain,2013,6.4,"208,308",129,Film,R,-,Severe,Severe,Severe,Severe,Severe,Action, Comedy, Crime
iCarly,2013,6.8,"3,149",26,Series,TV-PG,15,Mild,None,Mild,Mild,None,Comedy, Drama, Romance
Hot Fuzz,2007,7.8,"483,256",121,Film,R,-,Mild,Severe,Moderate,Mild,Moderate,Action, Comedy, Mystery
Bumblebee,2018,6.7,"151,586",114,Film,PG-13,-,None,Moderate,Mild,None,Mild,Action, Adventure, Sci-Fi
Rent,2005,6.9,"50,204",135,Film,PG-13,-,Moderate,Mild,Moderate,Severe,Mild,Drama, Musical, Romance
"Crazy, Stupid, Love.",2011,7.4,"493,130",118,Film,PG-13,-,Mild,Mild,Moderate,Mild,None,Comedy, Drama, Romance
Russian Doll,2011,7.8,"75,247",30,Series,TV-MA,16,Mild,Moderate,Severe,Severe,Mild,Adventure, Comedy, Drama
Crash,2004,7.7,"427,802",112,Film,R,-,Moderate,Moderate,Severe,Mild,Moderate,Crime, Drama, Thriller
Sseulsseulhago Chalranhashin: Dokkaebi,2004,8.6,"15,484",60,Series,TV-14,16,None,No Rate,No Rate,No Rate,No Rate,Comedy, Drama, Fantasy
Warning,2021,5.8,969,85,Film,R,-,No Rate,No Rate,No Rate,No Rate,No Rate,Sci-Fi, Thriller,
Hitmen,2021,5.4,883,30,Series,None,12,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Crime,
Star Wars: Episode VI - Return of the Jedi,1983,8.3,"989,037",131,Film,PG,-,Mild,Mild,None,Mild,Mild,Action, Adventure, Fantasy
The Sound of Music,1965,8,"216,528",172,Film,G,-,None,None,None,Mild,Mild,Biography, Drama, Family
Step by Step,1965,6.5,"13,616",30,Series,TV-G,160,Mild,Mild,Mild,Mild,No Rate,Comedy, Family, Romance
Dune 2,1965,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Drama
The Darling Buds of May,1965,7.8,"1,891",100,Series,TV-PG,20,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Drama,
De slag om de Schelde,2020,7.3,"6,180",124,Film,TV-MA,-,None,Severe,Mild,Mild,Severe,Drama, War,
Hercules,1997,7.3,"216,531",93,Film,G,-,None,Mild,None,Mild,Mild,Animation, Adventure, Comedy
Wedding Crashers,2005,6.9,"342,572",119,Film,R,-,Severe,Mild,Moderate,Mild,None,Comedy, Romance,
Bluey,2005,9.6,"4,110",7,Series,TV-Y,147,None,None,None,None,None,Animation, Family,
Lo imposible,2012,7.6,"212,000",114,Film,PG-13,-,Mild,Severe,Mild,None,Severe,Drama, History, Thriller
Fifty Shades Darker,2017,4.6,"96,766",118,Film,R,-,Severe,Mild,Moderate,Mild,Mild,Drama, Romance,
Victorious,2017,6.9,"22,515",30,Series,TV-G,57,Mild,Mild,Mild,None,Mild,Comedy, Drama, Family
The Mule,2018,7,"126,843",116,Film,R,-,Moderate,Mild,Moderate,Moderate,Mild,Crime, Drama, Thriller
Freaks and Geeks,2018,8.7,"135,407",44,Series,TV-14,18,Mild,Mild,Mild,Moderate,Mild,Comedy, Drama,
Afterlife of the Party,2021,5.8,"5,989",109,Film,TV-PG,-,None,None,None,Mild,None,Comedy, Drama, Fantasy
Barb and Star Go to Vista Del Mar,2021,6.4,"13,047",107,Film,PG-13,-,Mild,Mild,Mild,Moderate,None,Comedy,,
Bride of Chucky,1998,5.4,"55,353",89,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate,Comedy, Horror,
Madam Secretary,1998,7.6,"21,294",45,Series,TV-PG,120,None,Mild,Mild,Mild,Mild,Drama, Thriller,
Man of Tai Chi,2013,6.1,"37,440",105,Film,R,-,None,Moderate,Mild,None,No Rate,Action, Drama,
Overlord,2018,6.6,"93,304",110,Film,R,-,Mild,Severe,Severe,Mild,Severe,Action, Horror, Sci-Fi
Peacemaker,2018,No Rate,No Votes,None,Series,None,9,No Rate,No Rate,No Rate,No Rate,No Rate,Action, Adventure, Comedy
Hotel Transylvania 3: Summer Vacation,2018,6.3,"64,404",97,Film,PG,-,None,Mild,None,None,Mild,Animation, Adventure, Comedy
The Hunger Games: Mockingjay - Part 1,2014,6.6,"431,328",123,Film,PG-13,-,None,Moderate,None,None,Mild,Action, Adventure, Sci-Fi
Trailer Park Boys,2014,8.5,"39,663",30,Series,TV-MA,106,Moderate,Mild,Severe,Severe,Mild,Comedy, Crime,
13 Going on 30,2004,6.2,"177,951",98,Film,PG-13,-,Mild,None,Mild,Mild,None,Comedy, Fantasy, Romance
Kick-Ass,2010,7.6,"541,047",117,Film,R,-,Moderate,Severe,Severe,Moderate,Moderate,Action, Comedy, Crime
The Girl on the Train,2016,6.5,"178,952",112,Film,R,-,Severe,Moderate,Severe,Moderate,Moderate,Crime, Drama, Mystery
Coroner,2016,6.8,"3,700",60,Series,TV-MA,38,Mild,Mild,Mild,No Rate,No Rate,Crime, Drama, Mystery
Physical,2016,7.3,"5,631",30,Series,TV-MA,10,Mild,None,Severe,Mild,None,Comedy, Drama,
House of 1000 Corpses,2003,6.1,"82,053",89,Film,R,-,Moderate,Severe,Severe,Mild,Severe,Horror,,
Without Remorse,2021,5.8,"49,591",109,Film,R,-,None,Moderate,Mild,Mild,Moderate,Action, Thriller, War
Republic,2021,8.3,751,152,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Thriller,
Jeepers Creepers: Reborn,2021,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Horror, Mystery, Thriller
The King of Staten Island,2020,7.1,"53,382",136,Film,R,-,Mild,Mild,Severe,Moderate,Mild,Comedy, Drama,
8 Mile,2002,7.1,"266,000",110,Film,R,-,Moderate,Moderate,Severe,Mild,Mild,Drama, Music,
Wolfe,2002,6.5,799,60,Series,None,6,No Rate,No Rate,No Rate,No Rate,No Rate,Crime,,
Timeless,2002,7.7,"39,713",60,Series,TV-14,27,Mild,Moderate,Mild,Mild,Mild,Action, Adventure, Drama
Rocky IV,1985,6.9,"195,262",91,Film,PG,-,Mild,Moderate,Mild,Mild,Moderate,Drama, Sport,
Closer,2004,7.2,"210,131",104,Film,R,-,Moderate,Mild,Severe,Mild,None,Drama, Romance,
Moneyball,2011,7.6,"392,884",133,Film,PG-13,-,None,None,Moderate,Mild,None,Biography, Drama, Sport
The Electrical Life of Louis Wain,2021,7,229,111,Film,PG-13,-,No Rate,Mild,Moderate,No Rate,No Rate,Biography, Drama, History
Dallas Buyers Club,2013,8,"462,655",117,Film,R,-,Severe,Moderate,Severe,Severe,Moderate,Biography, Drama,
Misfits,2013,8.2,"96,804",60,Series,TV-MA,38,Moderate,Severe,Severe,Moderate,Moderate,Comedy, Drama, Fantasy
Jerry Maguire,1996,7.3,"253,205",139,Film,R,-,Moderate,Mild,Moderate,Mild,None,Comedy, Drama, Romance
A Rainy Day in New York,2019,6.5,"37,658",92,Film,PG-13,-,Mild,None,None,Mild,None,Comedy, Romance,
Kingdom,2019,8.5,"17,031",43,Series,TV-MA,40,Severe,Severe,Severe,Severe,Moderate,Drama,,
Don Jon,2013,6.5,"234,440",90,Film,R,-,Severe,Mild,Severe,Moderate,None,Comedy, Drama, Romance
Capharnaüm,2018,8.4,"76,398",126,Film,R,-,Mild,Mild,Severe,Moderate,Moderate,Drama,,
Charmed,2018,4.7,"15,132",43,Series,TV-PG,61,Mild,Mild,Mild,Mild,Moderate,Drama, Fantasy, Mystery
BlacKkKlansman,2018,7.5,"242,656",135,Film,R,-,Mild,Moderate,Severe,Mild,Moderate,Biography, Comedy, Crime
Taking the Reins,2021,6.4,438,84,Film,TV-G,-,None,None,None,None,None,Comedy, Drama, Romance
Children of Men,2006,7.9,"480,503",109,Film,R,-,Mild,Severe,Severe,Mild,Severe,Action, Sci-Fi, Thriller
Extinct,2021,5.2,919,84,Film,TV-Y7,-,Mild,No Rate,No Rate,No Rate,No Rate,Animation, Adventure, Comedy
"Rise and Shine, Benedict Stone",2021,7,225,84,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama,,
Gwoemul,2006,7.1,"114,759",120,Film,R,-,None,Moderate,Moderate,Mild,Moderate,Action, Drama, Horror
The Babysitter: Killer Queen,2020,5.8,"33,318",101,Film,TV-MA,-,Mild,Severe,Severe,Mild,Moderate,Comedy, Horror,
The Incredible Hulk,2008,6.6,"457,441",112,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Sci-Fi
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,"602,537",119,Film,R,-,Moderate,Mild,Severe,Moderate,Mild,Comedy, Drama,
Destination Wedding,2018,6,"27,097",87,Film,R,-,Mild,None,Severe,Mild,None,Comedy, Drama, Romance
The Amityville Horror,2005,6,"109,114",90,Film,R,-,Mild,Severe,Moderate,Mild,Moderate,Horror,,
Babardeala cu bucluc sau porno balamuc,2021,6.8,"2,513",106,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy, Drama,
Le bal des folles,2021,6.6,"1,635",122,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama, Thriller,
Indiana Jones and the Temple of Doom,1984,7.5,"466,305",118,Film,PG,-,Mild,Moderate,Mild,Mild,Severe,Action, Adventure,
Fast & Furious 7,2015,7.1,"375,645",137,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Adventure, Thriller
Haikyuu!!,2015,8.7,"17,201",24,Series,TV-14,88,None,None,Mild,Mild,None,Animation, Comedy, Drama
Something Wild,1986,6.9,"17,255",114,Film,R,-,Moderate,Moderate,Moderate,Mild,Mild,Comedy, Crime, Romance
Eagle Eye,2008,6.6,"182,239",118,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate,Action, Mystery, Thriller
Dark Desire,2008,6.5,"4,746",30,Series,TV-MA,19,Severe,Moderate,Mild,Moderate,Mild,Drama, Mystery, Thriller
Shame,2011,7.2,"189,839",101,Film,NC-17,-,Severe,Moderate,Severe,Moderate,Moderate,Drama,,
Chal Mera Putt 3,2021,8.5,"1,485",130,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Comedy,,
The Office,2021,8.5,"104,426",30,Series,TV-MA,14,Mild,None,Moderate,Mild,None,Comedy, Drama,
Wyatt Earp,1994,6.7,"48,025",191,Film,PG-13,-,Mild,Moderate,Mild,Mild,Mild,Adventure, Biography, Crime
Platoon,1986,8.1,"396,240",120,Film,R,-,Mild,Severe,Severe,Moderate,Severe,Drama, War,
Bonanza,1986,7.3,"8,664",49,Series,TV-PG,430,None,Mild,None,Moderate,None,Western,,
Ófærð,1986,8.1,"18,445",60,Series,TV-14,28,Moderate,Severe,Moderate,Mild,Moderate,Crime, Drama, Mystery
Mandy,2018,6.5,"71,193",121,Film,Not Rated,-,Moderate,Severe,Moderate,Severe,Severe,Horror, Mystery, Thriller
Heathers,1988,7.2,"96,233",103,Film,R,-,Moderate,Moderate,Moderate,Mild,Severe,Comedy, Crime,
Talladega Nights: The Ballad of Ricky Bobby,2006,6.6,"175,424",108,Film,PG-13,-,Mild,Mild,Moderate,Moderate,None,Comedy, Sport,
Tides,2021,5.4,"3,764",104,Film,R,-,Mild,Mild,No Rate,No Rate,Moderate,Sci-Fi, Thriller,
While We Sleep,2021,3.7,173,92,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Horror,,
El Camino: A Breaking Bad Movie,2019,7.3,"206,794",122,Film,TV-MA,-,None,Moderate,Moderate,Moderate,Moderate,Action, Crime, Drama
Contratiempo,2016,8.1,"161,526",106,Film,TV-MA,-,None,Mild,Mild,Mild,Moderate,Crime, Drama, Mystery
Zoey's Extraordinary Playlist,2016,8.1,"14,075",60,Series,TV-14,25,Mild,None,Mild,Mild,None,Comedy, Drama, Musical
Hustlers,2019,6.3,"91,362",110,Film,R,-,Moderate,Mild,Moderate,Severe,Mild,Comedy, Crime, Drama
Mad Max,1979,6.9,"199,104",88,Film,R,-,Moderate,Moderate,Mild,Mild,Moderate,Action, Adventure, Sci-Fi
There's Something About Mary,1998,7.1,"301,314",119,Film,R,-,Moderate,Mild,Moderate,Mild,None,Comedy, Romance,
Face/Off,1997,7.2,"361,187",138,Film,R,-,Mild,Severe,Severe,Moderate,Moderate,Action, Crime, Sci-Fi
I May Destroy You,2020,8.1,"17,034",30,Series,TV-MA,12,Severe,Severe,Severe,Severe,Moderate,Drama,,
Mission: Impossible - Ghost Protocol,2011,7.4,"470,869",132,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Thriller
The Mummy Returns,2001,6.4,"311,593",130,Film,PG-13,-,Mild,Moderate,Mild,None,Moderate,Action, Adventure, Fantasy
Preacher,2001,8,"71,090",60,Series,TV-MA,43,Moderate,Severe,Moderate,Severe,Severe,Adventure, Drama, Fantasy
The Alienist,2001,7.7,"49,800",60,Series,TV-MA,18,Moderate,Severe,Mild,Moderate,Severe,Crime, Drama, Mystery
Game Night,2018,6.9,"220,442",100,Film,R,-,Mild,Moderate,Severe,Mild,Mild,Action, Comedy, Crime
Frankenweenie,2012,6.9,"102,521",87,Film,PG,-,None,Moderate,None,None,Moderate,Animation, Comedy, Family
Big Fish,2003,8,"428,053",125,Film,PG-13,-,Mild,Mild,Mild,None,Mild,Adventure, Drama, Fantasy
Spy Kids,2001,5.5,"112,894",88,Film,PG,-,None,Mild,None,None,Mild,Action, Adventure, Comedy
Police Academy,1984,6.7,"120,091",96,Film,R,-,Moderate,Mild,Moderate,Mild,None,Comedy,,
Hostel,2005,5.9,"174,601",94,Film,R,-,Severe,Severe,Severe,Severe,Severe,Horror,,
Sing,2016,7.1,"143,462",108,Film,PG,-,None,Mild,None,None,Mild,Animation, Comedy, Family
Glass,2019,6.6,"225,032",129,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Drama, Sci-Fi, Thriller
The Waltons,2019,7.6,"6,406",60,Series,TV-G,212,No Rate,No Rate,None,No Rate,No Rate,Drama, Family, Romance
Coming to America,1988,7.1,"199,352",117,Film,R,-,Moderate,Mild,Moderate,Mild,None,Comedy, Romance,
The Da Vinci Code,2006,6.6,"415,941",149,Film,(Banned),-,Mild,Severe,Mild,Mild,Moderate,Mystery, Thriller,
Up,2009,8.2,"978,674",96,Film,PG,-,None,Mild,None,None,Moderate,Animation, Adventure, Comedy
Bad Boys for Life,2020,6.6,"144,833",124,Film,R,-,None,Severe,Severe,Mild,Mild,Action, Comedy, Crime
The Trial of the Chicago 7,2020,7.8,"159,365",129,Film,R,-,None,Moderate,Moderate,Mild,Mild,Drama, History, Thriller
Moonlight,2016,7.4,"289,612",111,Film,R,-,Moderate,Moderate,Severe,Moderate,Moderate,Drama,,
"Lock, Stock and Two Smoking Barrels",1998,8.2,"556,418",107,Film,R,-,Moderate,Severe,Severe,Moderate,Mild,Action, Comedy, Crime
The Day After Tomorrow,2004,6.4,"430,215",124,Film,PG-13,-,None,Moderate,Mild,Mild,Moderate,Action, Adventure, Sci-Fi
2 Broke Girls,2004,6.6,"93,543",22,Series,TV-14,138,Moderate,None,Moderate,Moderate,None,Comedy,,
It Comes at Night,2017,6.2,"88,923",91,Film,R,-,Mild,Moderate,Moderate,None,Severe,Horror, Mystery, Sci-Fi
The Real Housewives of Beverly Hills,2017,5.1,"5,636",44,Series,TV-14,244,No Rate,No Rate,No Rate,No Rate,No Rate,Reality-TV,,
The Hobbit: The Battle of the Five Armies,2014,7.4,"495,630",144,Film,PG-13,-,None,Severe,Mild,Mild,Moderate,Adventure, Fantasy,
Cape Fear,1991,7.3,"183,780",128,Film,R,-,Moderate,Severe,Moderate,Mild,Severe,Crime, Thriller,
Couples Retreat,2009,5.5,"105,123",113,Film,PG-13,-,Moderate,Mild,Mild,Mild,None,Comedy,,
Valerian and the City of a Thousand Planets,2017,6.5,"171,779",136,Film,PG-13,-,Mild,Mild,Mild,None,Mild,Action, Adventure, Fantasy
Nashville,2017,7.7,"24,183",43,Series,TV-PG,124,Mild,Mild,Mild,Moderate,Mild,Drama, Music, Romance
Finding Nemo,2003,8.1,"986,509",100,Film,G,-,None,Mild,None,None,Moderate,Animation, Adventure, Comedy
Helstrom,2020,6.8,"7,519",None,Series,TV-MA,10,Mild,Moderate,Mild,Mild,Severe,Action, Adventure, Drama
Kin,2021,5.3,"2,206",105,Film,TV-MA,-,None,Moderate,Mild,Moderate,None,Crime, Drama, Thriller
Gravity,2013,7.7,"793,112",91,Film,PG-13,-,None,Moderate,Moderate,None,Moderate,Adventure, Drama, Sci-Fi
Time Trap,2017,6.3,"33,570",87,Film,Not Rated,-,None,Mild,Mild,None,Mild,Action, Adventure, Mystery
Die Hard: With a Vengeance,1995,7.6,"374,296",128,Film,R,-,Mild,Severe,Severe,Mild,Moderate,Action, Adventure, Thriller
Notting Hill,1999,7.1,"291,496",124,Film,PG-13,-,Mild,None,Mild,Mild,None,Comedy, Drama, Romance
The Crazies,2010,6.5,"116,018",101,Film,R,-,None,Severe,Severe,Mild,Severe,Horror, Mystery, Thriller
Predestination,2014,7.5,"267,409",97,Film,R,-,Moderate,Moderate,Moderate,Mild,Mild,Action, Drama, Sci-Fi
Night of the Living Dead,1968,7.9,"122,306",96,Film,Not Rated,-,Mild,Moderate,Mild,Mild,Severe,Horror, Thriller,
Descendants,2015,6.4,"18,178",112,Film,TV-G,-,None,None,None,None,Mild,Comedy, Family, Fantasy
Unhinged,2020,6,"58,288",90,Film,R,-,None,Severe,Moderate,Mild,Severe,Action, Thriller,
Back to the Future Part II,1989,7.8,"502,846",108,Film,PG,-,Mild,Mild,Moderate,Mild,Moderate,Adventure, Comedy, Sci-Fi
Sucker Punch,2011,6,"237,676",110,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Action, Adventure, Fantasy
Showgirls,1995,4.9,"65,205",128,Film,NC-17,-,Severe,Severe,Severe,Moderate,Severe,Drama,,
Manchester by the Sea,2016,7.8,"262,647",137,Film,R,-,Mild,Moderate,Severe,Mild,Moderate,Drama,,
Minority Report,2002,7.6,"527,765",145,Film,PG-13,-,Moderate,Moderate,Moderate,Mild,Moderate,Action, Crime, Mystery
The Green Inferno,2013,5.3,"41,858",100,Film,R,-,Moderate,Severe,Mild,Moderate,Severe,Adventure, Horror,
Below Deck Mediterranean,2013,7.3,"1,769",43,Series,TV-14,106,Moderate,None,Moderate,Moderate,None,Reality-TV,,
Blonde,2022,No Rate,No Votes,None,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Biography, Drama, Romance
Ant-Man and the Wasp,2018,7,"347,601",118,Film,PG-13,-,None,Mild,Mild,None,Mild,Action, Adventure, Comedy
Night at the Museum,2006,6.4,"328,334",108,Film,PG,-,None,Mild,Mild,None,Mild,Adventure, Comedy, Family
Sing 2,2021,No Rate,No Votes,None,Film,PG,-,No Rate,No Rate,No Rate,No Rate,No Rate,Animation, Adventure, Comedy
Breakfast at Tiffany's,1961,7.6,"173,155",115,Film,Approved,-,Mild,None,None,Moderate,None,Comedy, Drama, Romance
The Wicker Man,1973,7.5,"76,436",88,Film,R,-,Severe,Moderate,Mild,Mild,Severe,Horror, Mystery, Thriller
No Man of God,2021,6.4,"3,374",100,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Biography, Crime, Drama
Family Matters,2021,6.6,"26,123",30,Series,TV-G,215,None,Mild,Mild,Mild,Mild,Adventure, Comedy, Drama
Insecure,2021,7.9,"14,492",30,Series,TV-MA,42,Severe,None,Severe,Moderate,Mild,Comedy, Romance,
Happy Valley,2021,8.4,"36,293",58,Series,TV-MA,18,Moderate,Moderate,Moderate,Moderate,Moderate,Crime, Drama, Thriller
Midway,2019,6.7,"75,878",138,Film,PG-13,-,None,Moderate,Moderate,Mild,Moderate,Action, Drama, History
Bloodshot,2020,5.7,"69,832",109,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Drama, Sci-Fi
Jason X,2001,4.4,"53,758",92,Film,R,-,Moderate,Severe,Moderate,Mild,Moderate,Action, Horror, Sci-Fi
Citizen Kane,1941,8.3,"423,573",119,Film,PG,-,None,Mild,None,Mild,None,Drama, Mystery,
Good Trouble,1941,7.5,"5,562",45,Series,TV-14,51,Moderate,No Rate,Mild,Mild,Mild,Comedy, Drama, Romance
Daredevil,2003,5.3,"213,091",103,Film,PG-13,-,Mild,Moderate,Moderate,Mild,Moderate,Action, Crime,
Constantine,2005,7,"323,113",121,Film,R,-,None,Moderate,Moderate,Moderate,Severe,Action, Fantasy, Horror
Under the Silver Lake,2018,6.5,"37,676",139,Film,R,-,Severe,Moderate,Moderate,Moderate,Moderate,Crime, Drama, Mystery
Hightown,2018,6.5,"2,930",60,Series,TV-MA,18,Severe,Moderate,Severe,Severe,Mild,Crime, Drama, Mystery
What Breaks the Ice,2020,6.7,657,99,Film,None,-,No Rate,No Rate,No Rate,No Rate,No Rate,Drama,,
Medici,2020,7.9,"17,212",60,Series,TV-14,24,Moderate,Moderate,Mild,Mild,Mild,Biography, Drama, History
The Royal Tenenbaums,2001,7.6,"277,285",110,Film,R,-,Mild,Moderate,Mild,Moderate,Mild,Comedy, Drama,
The Godfather: Part III,1990,7.6,"376,230",162,Film,R,-,Mild,Severe,Moderate,Mild,Moderate,Crime, Drama,
Rain Man,1988,8,"491,147",133,Film,R,-,Mild,Mild,Moderate,Mild,Mild,Drama,,
Eurovision Song Contest: The Story of Fire Saga,2020,6.5,"86,317",123,Film,PG-13,-,Mild,Mild,Mild,Mild,None,Comedy, Music,
The Post,2017,7.2,"143,782",116,Film,PG-13,-,None,Mild,Mild,Mild,Mild,Drama,,
Once Upon a Time in the West,1968,8.5,"315,267",165,Film,PG-13,-,Mild,Moderate,Mild,Mild,Moderate,Western,,
